他感冒了。|He caught a cold.|tā gǎn mào le。
我知道那种感觉。|I know the feeling.|wǒ zhī dào nà zhòng gǎn jué。
她有着细长的腿。|She has long thin shanks.|tā yǒu zhe xì cháng de tuǐ。
农作物需要雨水。|The crops need rain.|nóng zuò wù xū yào yǔ shuǐ。
你只是说说而已。|You are just saying that.|nǐ zhǐ shì shuō shuō ér yǐ。
向你全家问好。|Remember me to your family.|xiàng nǐ quán jiā wèn hǎo。
这是常有的事。|These things happen all the time.|zhè shì cháng yǒu de shì。
大家别同时说.|Don't all speak at the same time.|dà jiā biè tóng shí shuō.
有了它真是方便。|It really comes in handy.|yǒu le tā zhēn shì fāng biàn。
我很想吃饺子。|I feel like having some dumplings.|wǒ hěn xiǎng jí jiǎo zi。
我明天晚上来.|I'll come round tomorrow evening.|wǒ míng tiān wǎn shang lái.
他发烧满脸通红.|Fever flushed his cheeks.|tā fā shāo mǎn liǎn tōng hóng.
我非常感谢您。|I'm extremely grateful to you.|wǒ fēi cháng gǎn xiè nín。
我在街上遇到他。|I met him in the street.|wǒ zài jiē shàng yù dào tā。
我非常感谢您。|I'm extremely grateful to you.|wǒ fēi cháng gǎn xiè nín。
你应该去看医生。|You should see a doctor.|nǐ yīng gāi qù kàn yī shēng。
这星期他会很忙。|He is very busy this week.|zhè xīng qī tā kuài hěn máng。
我们喝了一些鸡汤。|We had some chicken soup.|wǒ men hè le yī xiē jī tāng。
他是一个高大的男孩。|He is a tall boy.|tā shì yī gè gāo dà de nán hái。
五加三的总和是八。|The sum of 5 and 3 is 8.|wǔ jiā sān de zǒng hé shì bā。
我的数学不太好。|I am not good at mathematics.|wǒ de shù xué bù tài hào。
他极为大家所爱戴。|He is held in affection.|tā jí wéi dà jiā suǒ ài dài。
那部影片很叫座。|That film was a great draw.|nà bù yǐng piàn hěn jiào zuò。
他的物理学得很好。|He does well in physics.|tā de wù lǐ xué de hěn hào。
我很想吃饺子。|I feel like having some dumplings.|wǒ hěn xiǎng jí jiǎo zi。
我的表慢五分钟。|My watch is five minutes slow.|wǒ de biǎo màn wǔ fēn zhōng。
好像要下雨了。|It looks as if it is going to rain.|hǎo xiàng yào xià yǔ le。
我教她骑自行车。|I taught her to ride a bicycle.|wǒ jiào tā qí zì xíng chē。
我不知道该怎么办。|I have no idea what to do.|wǒ bù zhī dào gāi zěn me bàn。
那孩子将满六岁了。|The child will be six.|nà hái zi jiàng mǎn liù suì le。
这只是时间问题。|It's only a matter of time.|zhè zhǐ shì shí jiān wèn tí。
我认为我考得不错.|I think I did OK in the exam.|wǒ rèn wéi wǒ kǎo de bù cuò.
这孩子身上发烧.|The child's body felt feverish.|zhè hái zi shēn shàng fā shāo.
她是工业设计师。|She is an industrial designer.|tā shì gōng yè shè jì shī。
我们必须重新开始。|We must make a new start.|wǒ men bì xū chóng xīn kāi shǐ。
我们确信能胜利。|We are confident of victory.|wǒ men què xìn néng shèng lì。
她总穿着黑衣服。|She always dresses in black.|tā zǒng chuān zhuó hēi yī fu。
她一大早就起床了。|She rose with the lark.|tā yī dà zǎo jiù qǐ chuáng le。
我和她长谈了一次。|I had a long talk with her.|wǒ huò tā cháng tán le yī cì。
三的立方是二十七。|Three cubed is twenty-seven.|sān de lì fāng shì èr shí qī。
我今天的心情不好。|I'm feeling blue today.|wǒ jīn tiān de xīn qíng bù hǎo。
我将等到四点钟。|I'll wait till four o'clock.|wǒ jiàng děng dào sì diǎn zhōng。
你把帽子戴反了。|You have put your hat on backwards.|nǐ bǎ mào zi dài fǎn le。
不会发很多时间的。|It won't take much time.|bù huì fà hěn duō shí jiān de。
我很愿意。谢谢你。|I do very much. Thank you.|wǒ hěn yuàn yì。 xiè xie nǐ。
你说的话没有道理.|What you say makes no sense.|nǐ shuō de huà méi yǒu dào lǐ.
她喜欢各种运动。|She likes all kinds of sports.|tā xǐ huan gè zhǒng yùn dòng。
她从不穿绿色的衣服。|She never wears green.|tā cóng bù chuān lu:4 sè de yī fu。
向你的孩子们问好。|Give my love to your kids.|xiàng nǐ de hái zi men wèn hǎo。
那顿饭简直好极了。|That meal was simply divine!|nà dùn fàn jiǎn zhí hào jí le。
马在路上小跑着。|The horse trotted down the road.|mǎ zài lù shang xiǎo pǎo zhuó。
我看到他就高兴。|I never see him but I am happy.|wǒ kàn dào tā jiù gāo xìng。
他有早起的习惯。|He is in the habit of rising early.|tā yǒu zǎo qǐ de xí guàn。
很高兴再次见到你。|I'm glad to see you again.|hěn gāo xìng zài cì xiàn dào nǐ。
这完全是你的过错。|It's your fault entirely.|zhè wán quán shì nǐ de guò cuò。
认识从实践开始。|Knowledge begin with practice.|rèn shi zòng shí jiàn kāi shǐ。
这对我没什么差别。|It makes no difference to me.|zhè duì wǒ mò shén me chā bié。
老人快步走开了。|The old man set off at a quick trot.|lǎo rén kuài bù zǒu kāi le。
他的病让我急死了。|I'm worried sick by his illness.|tā de bìng ràng wǒ jí sǐ le。
新年期间我去看你.|I'll see you in the new year.|xīn nián qī jiān wǒ qù kàn nǐ.
很高兴再次见到你。|I'm glad to see you again.|hěn gāo xìng zài cì xiàn dào nǐ。
她一直想成名。|She has always been desirous of fame.|tā yī zhí xiǎng chéng míng。
我不明白你的意思。|I can't apprehend your meaning.|wǒ bù míng bái nǐ de yì si。
只剩下一听肉了。|There is only one can of meat left.|zhǐ shèng xià yī tìng ròu le。
医生一会儿就到。|The doctor will be here presently.|yī shēng yī huìr jiù dào。
我的手表走时准确。|My watch keeps good time.|wǒ de shǒu biǎo zǒu shí zhǔn què。
我跳舞一点儿也不行。|I'm no good at dancing.|wǒ tiào wǔ yī diǎnr yě bù xìng。
我们游遍全国各地.|We travelled all over the country.|wǒ men yóu biàn quán guó gè dì.
这听上去挺不错的。|It sounds quite all right.|zhè tìng shàng qù tǐng bù cuò de。
我知道发生了什么事。|I know what happened.|wǒ zhī dào fā shēng le shén me shì。
我的日语相当差。|My knowledge of Japanese is rather poor.|wǒ de rì yǔ xiāng dāng cī。
我想预定一个房间。|I want to reserve a room.|wǒ xiǎng yù dìng yī gè fáng jiān。
她把头发拍整齐了.|She patted her hair into place/shape.|tā bǎ tóu fà pāi zhěng qí le.
他是一个数学天才。|He is a mathematical genius.|tā shì yī gè shù xué tiān cái。
我最近没有看到他。|I haven't seen him recently.|wǒ zuì jìn méi yǒu kàn dào tā。
要么进来，要么出去。|Either come in or go out.|yào me jìn lái， yào me chū qù。
很高兴再次见到你。|I'm glad to see you again.|hěn gāo xìng zài cì xiàn dào nǐ。
从前有一个公主.|Once upon a time there was a princess.|cóng qián yǒu yī gè gōng zhǔ.
我只想说对不起。|I want to say nothing but sorry.|wǒ zhǐ xiǎng shuō duì bù qǐ。
男孩很快地跑上楼。|The boy ran upstairs quickly.|nán hái hěn kuài de pǎo shàng lóu。
我解答不了这个难题。|I can't solve the problem.|wǒ jiě dá bù liǎo zhè gè nán tí。
她在一所中学学习。|She studies in a high school.|tā zài yī suǒ zhōng xué xué xí。
发言共占去三小时.|The speeches occupied three hours.|fā yán gòng zhàn qù sān xiǎo shí.
我的头发长得很长了。|My hair has grown very long.|wǒ de tóu fa zhǎng de hěn zhǎng le。
这些药对你有好处。|This medicine will do you good.|zhè xie yào duì nǐ yǒu hǎo chu。
这次考试比较容易。|The exam was relatively easy.|zhè cì kǎo shì bǐ jiào róng yì。
这是一个寒冷的早晨。|It's a chilly morning.|zhè shì yī gè hán lěng de zǎo chén。
四月是种树的时候。|April is the time to plant trees.|sì yuè shì zhòng shù de shí hou。
教堂在学校附近。|The church is close to the school.|jiào táng zài xué xiào fù jìn。
今天暖和一点儿了.|The weather is a bit warmer today.|jīn tiān nuǎn huó yī diǎnr le.
星期日是我休息的日子。|Sunday is my rest day.|xīng qī rì shì wǒ xiū xi de rì zi。
那条河长300公里。|The river is 300 kilometers in length.|nà tiáo hé zhǎng300 gōng lǐ。
嗯，但是你必须等我。|Mmm, but you must wait for me.|ēn， dàn shì nǐ bì xū děng wǒ。
我母亲已经五十岁了。|My mother is fifty years old.|wǒ mǔ qīn yǐ jīng wǔ shí suì le。
我想买一个新床单。|I want to buy a new bed linen.|wǒ xiǎng mǎi yī gè xīn chuáng dān。
房间里挤满了客人。|The room was crowded with guests.|fáng jiān lǐ jǐ mǎn le kè ren。
他提出了一种新理论。|He put forward a new theory.|tā tí chū le yī zhòng xīn lǐ lùn。
我不知道确切的日子。|I don't know the exact date.|wǒ bù zhī dào què qiè de rì zi。
我有一辆红色的自行车。|I have a red bike.|wǒ yǒu yī liàng hóng sè de zì xíng chē。
日本在中国的东面。|Japan lies to the east of China.|Rì běn zài Zhōng guó de dōng miàn。
他假装没有听见我。|He affected not to hear me.|tā jiǎ zhuāng méi yǒu tīng jiàn wǒ。
那儿有些彩色的气球。|There are some color balloons.|nà r yǒu xiē cǎi sè de qì qiú。
我的爱人很会做饭。|My wife is very useful at cooking.|wǒ de ài ren hěn kuài zuò fàn。
她正找电灯开关。|She is fumbling the light switch.|tā zhèng zhǎo diàn dēng kāi guān。
没有人想碰到麻烦。|No one liked to have trouble.|méi yǒu rén xiǎng pèng dào má fan。
他了解人民的意向。|He knew the pulse of the people.|tā liǎo jiě rén mín de yì xiàng。
直到他来我才离开。|It was not until he came that I left.|zhí dào tā lái wǒ cái lí kāi。
我深爱我的祖国。|I love my country with every fiber of my being.|wǒ shēn ài wǒ de zǔ guó。
我儿子上小学三年级.|My son's in the third grade.|wǒ ér zi shàng xiǎo xué sān nián jí.
她的故事使我很感动。|I was very moved by her story.|tā de gù shì shǐ wǒ hěn gǎn dòng。
他能跑得和我一样快。|He can run as fast as I can.|tā néng pǎo de huò wǒ yí yàng kuài。
那位技师技术很好。|That technician is highly skilled.|nà wèi jì shī jì shù hěn hǎo。
现代的人想法不同。|People today think differently.|xiàn dài de rén xiǎng fǎ bù tóng。
我深爱我的祖国。|I love my country with every fiber of my being.|wǒ shēn ài wǒ de zǔ guó。
他在一所中学工作。|He works in a secondary school.|tā zài yī suǒ zhōng xué gōng zuò。
这大概正是我要做的。|Maybe that's what I'll do.|zhè dà gài zhèng shì wǒ yào zuò de。
当我像你这样年纪时...|When I was your age...|dàng wǒ xiàng nǐ zhè yàng nián jì shí...
他们正在准备考试。|They were girding for the exam.|tā men zhèng zài zhǔn bèi kǎo shì。
门一开, 她走了进来。|The door opened and she came in.|mén yī kāi,  tā zǒu le jìn lái。
我十二点出去吃午饭。|I go out for lunch at twelve.|wǒ shí èr diǎn chū qù jí wǔ fàn。
我必须立刻开始工作。|I must start working at once.|wǒ bì xū lì kè kāi shǐ gōng zuò。
他的痛苦现在已经过去。|His pain is past now.|tā de tòng kǔ xiàn zài yǐ jīng guò qu。
他只是一个三岁的孩子。|He is only a child of three.|tā zhǐ shì yī gè sān suì de hái zi。
我深爱我的祖国。|I love my country with every fiber of my being.|wǒ shēn ài wǒ de zǔ guó。
我正准备打电话给你。|I was just about to call you.|wǒ zhèng zhǔn bèi dǎ diàn huà jǐ nǐ。
我累得再也走不动了。|I was too tired to walk any further.|wǒ lèi de zài yě zǒu bù dòng le。
我昨天买了好几本书。|I bought several books yesterday.|wǒ zuó tiān mǎi le hǎo jǐ běn shū。
一小时之内我就会到。|I'll be coming within an hour.|yī xiǎo shí zhī nèi wǒ jiù kuài dào。
那事已提前安排好了。|It had been arranged beforehand.|nà shì yǐ tí qián ān pái hào le。
晚饭时他吃了一些米饭。|He had some rice for supper.|wǎn fàn shí tā jí le yī xiē mǐ fàn。
我累得再也走不动了。|I was too tired to walk any further.|wǒ lèi de zài yě zǒu bù dòng le。
今天看上去是个晴天。|Looks like a fine day today.|jīn tiān kàn shàng qù shì gè qíng tiān。
每个人都是注定要死的。|Everyone is doomed to die.|měi gè rén dōu shì zhù dìng yào sǐ de。
吃饭前，我必须洗手。|I must wash my hands before dinner.|chī fàn qián， wǒ bì xū xǐ shǒu。
在这河里游泳危险。|This river is dangerous to bathe in.|zài zhè hé lǐ yóu yǒng wēi xiǎn。
我确实很好，谢谢您。|I'm very well indeed, thank you.|wǒ què shí hěn hǎo， xiè xie nín。
代我向你们全家问好。|Give my best to your family.|dài wǒ xiàng nǐ men quán jiā wèn hǎo。
春雨带来了夏日百花。|Spring rains bring summer flowers.|chūn yǔ dài lái le xià rì bǎi huā。
这是本有教育意义的书。|This is an instructive book.|zhè shì běn yǒu jiào yù yì yì de shū。
孩子们喜欢户外活动。|Children like outdoor activities.|hái zi men xǐ huan hù wài huó dòng。
许多灯照亮了街道。|The street is illumined by many lights.|xǔ duō dēng zhào liàng le jiē dào。
你说的有几分是真实的。|What you say is partly true.|nǐ shuō de yǒu jǐ fèn shì zhēn shí de。
不要把过去的事都翻出来。|Don't rake up the past.|bù yào bǎ guò qu de shì dōu fān chū lai。
她会说日语和英语。|She can speak Japanese as well as English.|tā kuài shuō rì yǔ huò Yīng yǔ。
他到十一点才回家。|Not until eleven o'clock did he come home.|tā dào shí yī diǎn cái huí jiā。
那男孩忽然哭了起来。|The boy began crying all of a sudden.|nà nán hái hū rán kū le qǐ lai。
我们正向家的方向走去。|We are heading home.|wǒ men zhèng xiàng jiā de fāng xiàng zǒu qù。
他到十一点才回家。|Not until eleven o'clock did he come home.|tā dào shí yī diǎn cái huí jiā。
她离开一个多钟头了.|She left little more than an hour ago.|tā lí kāi yī gè duō zhōng tóu le.
他是一个体育运动爱好者。|He is a sports buff.|tā shì yī gè tǐ yù yùn dòng ài hào zhě。
气候影响了他的健康。|The climate affected his health.|qì hòu yǐng xiǎng le tā de jiàn kāng。
我喜欢在图书馆学习。|I like to study in the library.|wǒ xǐ huan zài tú shū guǎn xué xí。
你完全误解了我的意思。|You mistook my meaning entirely.|nǐ wán quán wù jiě le wǒ de yì si。
你完全误解了我的意思。|You mistook my meaning entirely.|nǐ wán quán wù jiě le wǒ de yì si。
在那个班里我跟不上。|I was out of my depth in that class.|zài nèi gè bān lǐ wǒ gēn bù shàng。
我的钟一定是坏了。|There must be something wrong with my clock.|wǒ de zhōng yī dìng shì huài le。
天有点阴，可能下雨。|It's a bit overcast; it might rain.|tiān yǒu diǎn yīn， kě néng xià yǔ。
我已经校对完二十页了。|I have proofread twenty pages.|wǒ yǐ jīng xiào duì wán èr shí yè le。
她是饭店的女服务员。|She is a waitress in a restaurant.|tā shì fàn diàn de nu:3 fú wù yuán。
再见了，很高兴见到你。|Good-bye. Nice seeing you.|zài jiàn le， hěn gāo xìng xiàn dào nǐ。
事故发生在六点钟。|The accident happened at six o'clock.|shì gù fā shēng zài liù diǎn zhōng。
他们六时来的, 九时走的.|They came at six and went at nine.|tā men liù shí lái de,  jiǔ shí zǒu de.
我们说服她参加了宴会。|We argued her into joining us.|wǒ men shuō fú tā cān jiā le yàn huì。
我不知道该从哪里着手。|I don't know where to begin.|wǒ bù zhī dào gāi zòng nǎ li zhū shǒu。
这是为了对她自己有好处。|It is for her own good.|zhè shì wèi le duì tā zì jǐ yǒu hǎo chu。
他住在学校的宿舍里。|He hangs out in the school dormitory.|tā zhù zài xué xiào de sù shè lǐ。
我的新家在第十六层。|My new house is on the sixteenth floor.|wǒ de xīn jiā zài dì shí liù céng。
这座桥现在可以通行。|The bridge is now open to traffic.|zhè zuò qiáo xiàn zài kě yǐ tōng xíng。
他一句中文都不会说。|He couldn't talk a word of Chinese.|tā yī jù Zhōng wén dōu bù huì shuō。
她把我介绍给她的朋友。|She introduced me to her friend.|tā bǎ wǒ jiè shào jǐ tā de péng you。
口语体口语化或口语用法|Colloquial style or quality.|kǒu yǔ tǐ kǒu yǔ huà huò kǒu yǔ yòng fǎ
我很少听见他讲汉语。|I seldom hear he speaks Chinese.|wǒ hěn shǎo tīng jiàn tā jiǎng Hàn yǔ。
我只懂得一点法语。|I have only a limited understanding of French.|wǒ zhǐ dǒng de yī diǎn fǎ yǔ。
他笑着告诉我这个消息。|He told me the news with a laugh.|tā xiào zhuó gào su wǒ zhè gè xiāo xi。
马车夫的工作非常辛苦。|Wagoner's work is very hard.|mǎ chē fū de gōng zuò fēi cháng xīn kǔ。
她提出把汽车借给我用。|She offered me the loan of her car.|tā tí chū bǎ qì chē jiè jǐ wǒ yòng。
我们在图书馆外边见面.|Let's meet outside the library.|wǒ men zài tú shū guǎn wài bian jiàn miàn.
你和你姐姐都这么说。|You and your sister said so yourselves.|nǐ huò nǐ jiě jie dōu zhè me shuō。
他说服女儿改变主意.|He persuaded his daughter to change her mind.|tā shuō fú nu:3 ér gǎi biàn zhǔ yi.
这棵苹果树很少结果。|The apple tree is seldom fruitful.|zhè kē píng guǒ shù hěn shǎo jié guǒ。
他欢喜得说不出来。|In the fullness of his joy, he could hardly speak.|tā huān xǐ de shuō bù chū lai。
她将我介绍给她的父母。|She introduced me to her parents.|tā jiàng wǒ jiè shào jǐ tā de fù mǔ。
我们都关心她的健康。|We are all concerned about her health.|wǒ men dōu guān xīn tā de jiàn kāng。
已经出现了一些问题.|A number of (ie some) problems have arisen.|yǐ jīng chū xiàn le yī xiē wèn tí.
那个学生昨天丢了书。|That student lost his book yesterday.|nèi gè xué sheng zuó tiān diū le shū。
当父母可是件辛苦的事。|Being a parent can be hard work.|dàng fù mǔ kě shì jiàn xīn kǔ de shì。
他去邮局买些邮票。|He went to the post-office to buy some stamps.|tā qù yóu jú mǎi xiē yóu piào。
书页因年久而变黄。|The leaves of the book had yellowed with age.|shū yè yīn nián jiǔ ér biàn huáng。
领导做了英明的决定。|The leader made a sagacious decision.|lǐng dǎo zuò le yīng míng de jué dìng。
让我们友好地谈话。|Let's keep the conversation on a friendly plane.|ràng wǒ men yǒu hǎo de tán huà。
星期日是一周的第一天。|Sunday is the first day of the week.|xīng qī rì shì yī zhōu de dì yī tiān。
他的意见没多少影响。|His opinion doesn't carry much weight.|tā de yì jiàn mò duō shao yǐng xiǎng。
你双手手指的总数是10。|The number of your finger is ten.|nǐ shuāng shǒu shǒu zhǐ de zǒng shù shì10。
你双手手指的总数是10。|The number of your finger is ten.|nǐ shuāng shǒu shǒu zhǐ de zǒng shù shì10。
只要天一放晴,我们就去。|If only it clears up, we'll go.|zhǐ yào tiān yī fàng qíng, wǒ men jiù qù。
全校在大礼堂集合.|The whole school (was) assembled in the main hall.|quán xiào zài dà lǐ táng jí hé.
他住在一个舒适的小屋里。|He lives in a cosy little room.|tā zhù zài yī gè shū shì de xiǎo wū lǐ。
他给她叫了一辆出租汽车。|He called her a taxi.|tā jǐ tā jiào le yī liàng chū zū qì chē。
请原谅我的字写得不好。|Please excuse my bad handwriting.|qǐng yuán liàng wǒ de zì xiě de bù hǎo。
他胜过他班中的同学。|He got the better of his classmates.|tā shèng guò tā bān zhòng dì tóng xué。
如果天气好，当然可以。|Certainly, if the weather is fine.|rú guǒ tiān qì hào， dāng rán kě yǐ。
两把椅子坐起来都不舒服。|Neither chair is comfortable.|liǎng bǎ yǐ zi zuò qǐ lai dōu bù shū fu。
你我都不会说汉语.|You're no more capable of speaking Chinese than I am.|nǐ wǒ dōu bù huì shuō Hàn yǔ.
云是天空中的水汽团。|A cloud is a mass of vapor in the sky.|yún shì tiān kōng zhòng dì shuǐ qì tuán。
这二人一见钟情。|The two fell in love with each other at the first sight.|zhè èr rén yī xiàn zhōng qíng。
我们今年取得了大丰收。|We have a plenteous harvest this year.|wǒ men jīn nián qǔ dé le Dà fēng shōu。
他们都往同一方向走了.|They all went off in one direction.|tā men dōu wàng tóng yī fāng xiàng zǒu le.
还好我们没有跟着他。|It is just as well that we did not follow him.|hái hǎo wǒ men méi yǒu gēn zhe tā。
他们一步不停地走了过去。|They walked past without stopping|tā men yí bù bù tíng de zǒu le guò qu。
以前在那里有一个邮局。|There used to be a post office there.|yǐ qián zài nà li yǒu yī gè yóu jú。
他想出了一个极好的主意。|He worked out an excellent idea.|tā xiǎng chū le yī gè jí hǎo de zhǔ yi。
上星期天我十点钟起床。|I got up at ten last Sunday.|shàng xīng qī tiān wǒ shí diǎn zhōng qǐ chuáng。
中国是一个发展中国家。|China is a developing country.|Zhōng guó shì yī gè fā zhǎn Zhōng guó jiā。
星期日是一周的第一天。|Sunday is the first day of the week.|xīng qī rì shì yī zhōu de dì yī tiān。
我中午通常只吃点心.|Usually I only have a snack at lunchtime.|wǒ zhōng wǔ tōng cháng zhǐ jí diǎn xīn.
黑板在教室的前面。|The blackboard is in the front of the classroom.|hēi bǎn zài jiào shì de qián mian。
他是世界上最富有的人。|He is the richest man in the world.|tā shì shì jiè shàng zuì fù yǒu de rén。
不休息我们就走不动了。|We can't go any farther without a rest.|bù xiū xī wǒ men jiù zǒu bù dòng le。
每个母亲都爱她的孩子。|Every mother has affection for her children.|měi gè mǔ qīn dōu ài tā de hái zi。
他不该做那事是有必要的。|It is important that he not do it.|tā bù gāi zuò nà shì shì yǒu bì yào de。
这次迟到不是我们的错。|It was not our fault that we were late.|zhè cì chí dào bú shì wǒ men de cuò。
我们今年取得了大丰收。|We have a plenteous harvest this year.|wǒ men jīn nián qǔ dé le Dà fēng shōu。
我们明天将一起吃午饭。|We will eat lunch together tomorrow.|wǒ men míng tiān jiàng yī qǐ jí wǔ fàn。
对不起，我忘了你的名字。|I'm sorry; I've forgotten your name.|duì bù qǐ， wǒ wàng le nǐ de míng zi。
请医生开点咳嗽药.|Ask the doctor to prescribe something for that cough.|qǐng yī shēng kāi diǎn ké sou yào.
她走进内室去换衣服。|She went into the inner room to change her dress.|tā zǒu jìn nèi shì qù huàn yī fu。
我们深深感谢你的支持。|We are deeply grateful for your support.|wǒ men shēn shēn gǎn xiè nǐ de zhī chí。
他没有努力工作的动力。|He hasn't much incentive to work hard.|tā méi yǒu nǔ lì gōng zuò de dòng lì。
这些苹果不熟，是酸的。|These apples are not ripe; they are sour.|zhè xie píng guǒ bù shú， shì suān de。
她穿着一件深蓝色的上衣。|She wore a dark blue coat.|tā chuān zhuó yī jiàn Shēn lán shǎi de shàng yī。
这些苹果不熟，是酸的。|These apples are not ripe; they are sour.|zhè xie píng guǒ bù shú， shì suān de。
丰年时人人都吃得饱。|In years of plenty everyone has plenty to eat.|fēng nián shí rén rén dōu jí de bǎo。
他向我提了一些很好的意见。|He gave me some good advice.|tā xiàng wǒ tí le yī xiē hěn hǎo de yì jiàn。
你应该好好利用这个机会。|You should take advantage of it.|nǐ yīng gāi hǎo hǎo lì yòng zhè gè jī huì。
我们想去参加化装舞会。|We want to join in the masquerade.|wǒ men xiǎng qù cān jiā huà zhuāng wǔ huì。
休息一下对你会有好处的。|It'll do you good to have a rest.|xiū xi yī xià duì nǐ kuài yǒu hǎo chu de。
你的雨衣系上带子更好看.|Your mackintosh looks better belted.|nǐ de yǔ yī xì shàng dài zi gèng hǎo kàn.
别客气，我又不是外人。|Don't stand on ceremony. I'm no stranger.|biè kè qì， wǒ yòu bú shì wài rén。
她一点儿也不像那么大年纪.|She doesn't look her age at all.|tā yī diǎnr yě bù xiàng nà me dà nián jì.
他们拿那位老人开玩笑。|They are making fun of the old man.|tā men ná nà wèi lǎo rén kāi wán xiào。
